Country,Nb of Movies,Average Production Budget,Total Worldwide Box Office
Tajikistan,5,$0,"$1,776,779"
Albania,13,$0,"$1,668,679"
Myanmar,6,$0,"$1,625,005"
Libyan Arab Jamahiriya,3,"$35,000,000","$1,522,008"
Jordan,10,"$2,767,500","$1,375,790"
Bhutan,4,$0,"$1,178,662"
Guatemala,9,$0,"$1,069,363"
Maldives,2,$0,"$993,251"
Brunei Darussalam,1,$0,"$993,251"
Djibouti,1,$0,"$993,251"
Lao People’s Democratic Republic,4,$0,"$856,821"
Nigeria,87,"$2,616,667","$842,431"
Vanuatu,2,$0,"$574,050"
Bangladesh,15,$0,"$475,338"
Palau,1,$0,"$443,291"
French Polynesia,1,$0,"$443,291"
Ghana,11,$0,"$406,799"
Netherlands Antilles,1,$0,"$359,849"
Sri Lanka,7,$0,"$355,709"
Iraq,15,$0,"$304,301"
Chad,3,$0,"$279,502"
Cape Verde,4,$0,"$273,078"
Uzbekistan,4,$0,"$270,968"
Rwanda,4,$0,"$261,759"
Syrian Arab Republic,13,$0,"$212,604"
Plurinational State of Bolivia,11,$0,"$206,928"
British Indian Ocean Territory,1,$0,"$204,784"
Cook Islands,1,$0,"$186,978"
Sudan,6,$0,"$168,347"
Somalia,3,$0,"$157,071"
Mauritius,1,$0,"$135,802"
Ethiopia,10,$0,"$113,927"
Azerbaijan,10,"$29,120","$102,961"
Holy See (Vatican City State),1,$0,"$85,479"
The Democratic Republic of the Congo,5,$0,"$84,087"
Jamaica,7,"$750,000","$82,978"
Angola,7,$0,"$78,698"
Republic of Moldova,4,$0,"$64,168"
Uganda,7,$0,"$61,510"
Côte D'Ivoire,2,$0,"$49,967"
Haiti,7,$0,"$41,873"
Czechoslovakia,5,$0,"$35,541"
United Republic of Tanzania,9,"$800,000","$27,694"
Zimbabwe,1,$0,"$25,038"
Macao,2,$0,"$25,021"
Congo,1,$0,"$24,139"
Gabon,1,$0,"$23,866"
Bahrain,1,$0,"$19,130"
Burkina Faso,3,$0,"$7,849"
Andorra,1,$0,"$4,325"
Samoa,1,$0,"$4,266"
Lesotho,2,$0,"$3,355"
Ecuador,9,"$800,000","$2,742"
Mozambique,2,$0,"$2,467"
Mali,2,$0,"$1,939"
Kyrgyzstan,7,"$1,400,000","$1,238"
Barbados,1,$0,"$1,105"
Antarctica,2,$0,$976
Liechtenstein,4,$0,$0
Nicaragua,4,$0,$0
Trinidad and Tobago,4,$0,$0
El Salvador,2,$0,$0
Saint Kitts and Nevis,2,$0,$0
Central African Republic,1,$0,$0
Federated States of Micronesia,1,$0,$0
Liberia,1,$0,$0
Gambia,1,$0,$0
Zambia,1,$0,$0
Honduras,1,$0,$0
Fiji,1,$0,$0
Solomon Islands,1,$0,$0
Guinea-Bissau,1,$0,$0
Oman,1,$0,$0
Sierra Leone,1,$0,$0
Belize,1,$0,$0
Benin,1,$0,$0
Kiribati,1,$0,$0
Niger,1,$0,$0
Malawi,1,$0,$0
Madagascar,1,$0,$0
