Country,Europe,North America,South America,Africa,Asia,Oceania,Antarctica
Chile,0,0,1,0,0,0,0
Hungary,1,0,0,0,0,0,0
Egypt,0,0,0,1,0,0,0
Estonia,1,0,0,0,0,0,0
South Africa,0,0,0,1,0,0,0
Iraq,0,0,0,0,1,0,0
Madagascar,0,0,0,1,0,0,0
Croatia,1,0,0,0,0,0,0
Senegal,0,0,0,1,0,0,0
China,0,0,0,0,1,0,0
Zambia,0,0,0,1,0,0,0
Denmark,1,0,0,0,0,0,0
Sweden,1,0,0,0,0,0,0
Cyprus,1,0,0,0,0,0,0
Spain,1,0,0,0,0,0,0
Comoros,0,0,0,1,0,0,0
Papua New Guinea,0,0,0,0,0,1,0
Lithuania,1,0,0,0,0,0,0
Hong Kong,0,0,0,0,1,0,0
Burundi,0,0,0,1,0,0,0
Mozambique,0,0,0,1,0,0,0
Luxembourg,1,0,0,0,0,0,0
Botswana,0,0,0,1,0,0,0
Sudan,0,0,0,1,0,0,0
Seychelles,0,0,0,1,0,0,0
Rwanda,0,0,0,1,0,0,0
Bulgaria,1,0,0,0,0,0,0
France,1,0,0,0,0,0,0
Eswatini,0,0,0,1,0,0,0
Australia,0,0,0,0,0,1,0
Slovakia,1,0,0,0,0,0,0
South Sudan,0,0,0,1,0,0,0
Benin,0,0,0,1,0,0,0
United States,0,1,0,0,0,0,0
Italy,1,0,0,0,0,0,0
Liberia,0,0,0,1,0,0,0
Malta,1,0,0,0,0,0,0
Chad,0,0,0,1,0,0,0
Libya,0,0,0,1,0,0,0
Argentina,0,0,1,0,0,0,0
Turkey,0,0,0,0,1,0,0
Malawi,0,0,0,1,0,0,0
Russia,0,0,0,0,1,0,0
Cabo Verde,0,0,0,1,0,0,0
Lesotho,0,0,0,1,0,0,0
Mali,0,0,0,1,0,0,0
Niger,0,0,0,1,0,0,0
Zimbabwe,0,0,0,1,0,0,0
Kenya,0,0,0,1,0,0,0
Gabon,0,0,0,1,0,0,0
Brazil,0,0,1,0,0,0,0
Mexico,0,1,0,0,0,0,0
Congo,0,0,0,1,0,0,0
Tanzania,0,0,0,1,0,0,0
Eritrea,0,0,0,1,0,0,0
Tunisia,0,0,0,1,0,0,0
Algeria,0,0,0,1,0,0,0
Mauritius,0,0,0,1,0,0,0
Germany,1,0,0,0,0,0,0
Ethiopia,0,0,0,1,0,0,0
Afghanistan,0,0,0,0,1,0,0
Somalia,0,0,0,1,0,0,0
Japan,0,0,0,0,1,0,0
Iran,0,0,0,0,1,0,0
Guinea-Bissau,0,0,0,1,0,0,0
Kazakhstan,0,0,0,0,1,0,0
Gambia,0,0,0,1,0,0,0
Namibia,0,0,0,1,0,0,0
Poland,1,0,0,0,0,0,0
Sierra Leone,0,0,0,1,0,0,0
Singapore,0,0,0,0,1,0,0
Mauritania,0,0,0,1,0,0,0
Greece,1,0,0,0,0,0,0
Thailand,0,0,0,0,1,0,0
Cameroon,0,0,0,1,0,0,0
Ghana,0,0,0,1,0,0,0
Equatorial Guinea,0,0,0,1,0,0,0
United Arab Emirates,0,0,0,0,1,0,0
Czech Republic,1,0,0,0,0,0,0
India,0,0,0,0,1,0,0
Israel,0,0,0,0,1,0,0
Peru,0,0,1,0,0,0,0
Latvia,1,0,0,0,0,0,0
Togo,0,0,0,1,0,0,0
Finland,1,0,0,0,0,0,0
Slovenia,1,0,0,0,0,0,0
Indonesia,0,0,0,0,1,0,0
Nigeria,0,0,0,1,0,0,0
Canada,0,1,0,0,0,0,0
Uganda,0,0,0,1,0,0,0
Austria,1,0,0,0,0,0,0
Vietnam,0,0,0,0,1,0,0
Central African Republic,0,0,0,1,0,0,0
Ireland,1,0,0,0,0,0,0
Djibouti,0,0,0,1,0,0,0
Ivory Coast,0,0,0,1,0,0,0
New Zealand,0,0,0,0,0,1,0
South Korea,0,0,0,0,1,0,0
Romania,1,0,0,0,0,0,0
Democratic Republic of the Congo,0,0,0,1,0,0,0
Angola,0,0,0,1,0,0,0
Portugal,1,0,0,0,0,0,0
Morocco,0,0,0,1,0,0,0
Pakistan,0,0,0,0,1,0,0
Belgium,1,0,0,0,0,0,0
Guinea,0,0,0,1,0,0,0
Sao Tome and Principe,0,0,0,1,0,0,0
Malaysia,0,0,0,0,1,0,0
Netherlands,1,0,0,0,0,0,0
Burkina Faso,0,0,0,1,0,0,0
